event_id,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
EVT_1001,17.6322,83.1840,355.2,0.4,0.4,2026-01-10,0815,N,VIIRS,high,2.0NRT,298.4,24.5,D
EVT_1002,17.6324,83.1841,358.0,0.4,0.4,2026-01-22,1930,N,VIIRS,high,2.0NRT,299.1,28.2,N
EVT_1003,17.6321,83.1839,352.6,0.4,0.4,2026-02-05,0820,N,VIIRS,high,2.0NRT,297.8,22.1,D
EVT_1004,17.6323,83.1842,360.4,0.4,0.4,2026-02-18,1945,N,VIIRS,high,2.0NRT,300.5,29.8,N
EVT_1005,17.6325,83.1840,354.8,0.4,0.4,2026-03-02,0810,N,VIIRS,high,2.0NRT,298.0,23.4,D
EVT_1006,17.6322,83.1843,361.9,0.4,0.4,2026-03-15,1935,N,VIIRS,high,2.0NRT,301.2,31.0,N
EVT_1007,17.6324,83.1838,356.5,0.4,0.4,2026-03-24,0825,N,VIIRS,high,2.0NRT,299.0,25.6,D
EVT_1008,17.6950,83.2555,348.7,0.5,0.4,2026-01-15,1920,1,VIIRS,high,2.0NRT,295.4,18.4,N
EVT_1009,17.6952,83.2557,351.2,0.5,0.4,2026-02-02,0830,1,VIIRS,high,2.0NRT,296.8,19.2,D
EVT_1010,17.6949,83.2553,353.0,0.5,0.4,2026-02-20,1925,1,VIIRS,high,2.0NRT,297.5,21.0,N
EVT_1011,17.6953,83.2556,350.5,0.5,0.4,2026-03-10,0815,1,VIIRS,high,2.0NRT,296.1,18.9,D
EVT_1012,17.6951,83.2554,352.8,0.5,0.4,2026-03-22,1940,1,VIIRS,high,2.0NRT,297.2,20.5,N
EVT_1013,17.6965,83.2570,388.5,0.4,0.4,2026-03-25,1420,N,VIIRS,high,2.0NRT,312.4,98.6,D
EVT_1014,17.6820,83.2730,381.2,0.4,0.4,2026-03-25,1850,N,VIIRS,high,2.0NRT,309.8,84.2,N
EVT_1015,17.6340,83.1860,379.4,0.4,0.4,2026-03-24,2215,N,VIIRS,high,2.0NRT,308.2,76.5,N
EVT_1016,17.6042,83.0835,372.6,0.4,0.4,2026-03-25,1105,1,VIIRS,high,2.0NRT,304.1,62.0,D
EVT_1017,17.7850,83.3320,332.4,0.6,0.5,2026-03-21,0840,T,MODIS,nominal,6.1NRT,292.1,16.8,D
EVT_1018,17.7885,83.3360,335.8,0.6,0.5,2026-03-22,0915,A,MODIS,nominal,6.1NRT,293.5,19.4,D
EVT_1019,17.7920,83.3410,338.0,0.6,0.5,2026-03-23,0855,T,MODIS,nominal,6.1NRT,294.0,22.0,D
EVT_1020,17.8100,83.3600,329.5,0.6,0.5,2026-03-24,0920,A,MODIS,nominal,6.1NRT,290.8,14.2,D
EVT_1021,17.5862,83.0460,345.1,0.4,0.4,2026-02-12,2010,N,VIIRS,high,2.0NRT,294.2,15.8,N
EVT_1022,17.5858,83.0455,347.0,0.4,0.4,2026-03-05,2015,N,VIIRS,high,2.0NRT,295.0,16.9,N
EVT_1023,17.5865,83.0458,346.2,0.4,0.4,2026-03-24,2020,N,VIIRS,high,2.0NRT,294.8,16.2,N
EVT_1024,17.5210,83.1120,314.5,0.7,0.6,2026-03-20,0330,1,VIIRS,low,2.0NRT,289.0,3.2,N
EVT_1025,17.7450,83.2100,318.2,0.5,0.5,2026-03-22,1345,T,MODIS,low,6.1NRT,291.2,4.8,D
EVT_1026,17.6548,83.1640,365.0,0.4,0.4,2026-03-25,1640,N,VIIRS,high,2.0NRT,302.5,45.0,D
EVT_1027,17.6715,83.2128,349.5,0.4,0.4,2026-01-18,2110,N,VIIRS,high,2.0NRT,296.0,17.5,N
EVT_1028,17.6718,83.2125,352.0,0.4,0.4,2026-02-24,2125,N,VIIRS,high,2.0NRT,297.1,18.8,N
EVT_1029,17.6712,83.2130,350.8,0.4,0.4,2026-03-23,2115,N,VIIRS,high,2.0NRT,296.5,18.0,N
EVT_1030,17.5500,83.0200,324.6,0.6,0.5,2026-03-24,0840,T,MODIS,nominal,6.1NRT,291.0,8.5,D
